trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
28,False,"{'a': 0.7199999999999998, 'e': 0.7199999999999998}",30,0,-91.22995351246689,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
29,False,"{'a': 0.7099999999999997, 'e': 0.7099999999999997}",25,4,-132.39402000300174,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 2}",1
30,False,"{'a': 0.6999999999999997, 'e': 0.6999999999999997}",20,0,-133.99483058295118,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",0
31,False,"{'a': 0.6899999999999997, 'e': 0.6899999999999997}",30,0,-151.81805283487904,"{0: 21, 1: 5, 2: 0, 3: 0, 4: 4}",0
32,False,"{'a': 0.6799999999999997, 'e': 0.6799999999999997}",25,0,-41.51098819693253,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
33,False,"{'a': 0.6699999999999997, 'e': 0.6699999999999997}",30,13,-31.453547854995975,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
34,False,"{'a': 0.6599999999999997, 'e': 0.6599999999999997}",20,0,-49.356527601087166,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
35,False,"{'a': 0.6499999999999997, 'e': 0.6499999999999997}",25,0,-83.35118524482155,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
36,False,"{'a': 0.6399999999999997, 'e': 0.6399999999999997}",20,0,-81.23226430526935,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
37,False,"{'a': 0.6299999999999997, 'e': 0.6299999999999997}",20,0,-74.3402948855342,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
38,False,"{'a': 0.6199999999999997, 'e': 0.6199999999999997}",20,0,-28.61807786187703,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
39,False,"{'a': 0.6099999999999997, 'e': 0.6099999999999997}",30,13,-11.712090314294585,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
40,False,"{'a': 0.5999999999999996, 'e': 0.5999999999999996}",20,0,-51.09524773989538,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
41,False,"{'a': 0.5899999999999996, 'e': 0.5899999999999996}",25,5,-7.930851737325916,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.5799999999999996, 'e': 0.5799999999999996}",30,12,-30.446331365223678,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
43,False,"{'a': 0.5699999999999996, 'e': 0.5699999999999996}",25,2,-64.83680859490752,"{0: 16, 1: 4, 2: 1, 3: 1, 4: 1}",1
44,False,"{'a': 0.5599999999999996, 'e': 0.5599999999999996}",30,15,24.32695807938871,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5499999999999996, 'e': 0.5499999999999996}",25,17,-11.008703698587885,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.5399999999999996, 'e': 0.5399999999999996}",20,2,-91.38119449991763,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 1}",1
47,False,"{'a': 0.5299999999999996, 'e': 0.5299999999999996}",30,11,-63.734978402503856,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
48,False,"{'a': 0.5199999999999996, 'e': 0.5199999999999996}",30,2,-40.88311177324521,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 1}",1
49,False,"{'a': 0.5099999999999996, 'e': 0.5099999999999996}",20,13,10.970774062456318,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.49999999999999956, 'e': 0.49999999999999956}",25,14,-29.842196381475325,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
51,False,"{'a': 0.48999999999999955, 'e': 0.48999999999999955}",30,0,-26.976727929299102,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
52,False,"{'a': 0.47999999999999954, 'e': 0.47999999999999954}",20,11,-35.23688275332049,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
53,False,"{'a': 0.46999999999999953, 'e': 0.46999999999999953}",25,3,-60.75743238252456,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 2}",1
54,False,"{'a': 0.4599999999999995, 'e': 0.4599999999999995}",35,19,-28.180946416895086,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
55,False,"{'a': 0.4499999999999995, 'e': 0.4499999999999995}",20,0,4.42364452339979,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
56,False,"{'a': 0.4399999999999995, 'e': 0.4399999999999995}",35,21,19.951100216435808,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.4299999999999995, 'e': 0.4299999999999995}",25,2,-73.73622486901904,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 2}",1
